Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1885-01,-0.65614164,-0.83794105,-0.47434217
1885-02,-0.5527572,-0.73603135,-0.36948302
1885-03,-0.42101642,-0.5955314,-0.24650145
1885-04,-0.63497037,-0.78652006,-0.4834207
1885-05,-0.60631216,-0.77378696,-0.43883735
1885-06,-0.63664883,-0.8227926,-0.45050508
1885-07,-0.42047033,-0.5939572,-0.24698347
1885-08,-0.4050678,-0.5947867,-0.21534885
1885-09,-0.35673314,-0.52351606,-0.18995023
1885-10,-0.36150765,-0.51169276,-0.21132258
1885-11,-0.38425598,-0.55152065,-0.2169913
1885-12,-0.21760142,-0.4325158,-0.002687025
1886-01,-0.479745,-0.6322591,-0.3272309
1886-02,-0.47879001,-0.62834597,-0.32923406
1886-03,-0.48723003,-0.63084835,-0.34361172
1886-04,-0.3615867,-0.5048325,-0.21834087
1886-05,-0.29257125,-0.45943964,-0.1257029
1886-06,-0.5019767,-0.6763906,-0.32756293
1886-07,-0.3021988,-0.45671389,-0.14768374
1886-08,-0.45738658,-0.6496851,-0.26508808
1886-09,-0.39079213,-0.54562986,-0.2359544
1886-10,-0.41297862,-0.56080145,-0.26515582
1886-11,-0.49078947,-0.65871966,-0.3228593
1886-12,-0.39479798,-0.6054431,-0.18415283
1887-01,-0.74377,-0.90897405,-0.57856596
1887-02,-0.65888214,-0.81991065,-0.49785364
1887-03,-0.44538546,-0.60558623,-0.28518468
1887-04,-0.48280382,-0.63975,-0.32585767
1887-05,-0.52945954,-0.7083593,-0.35055977
1887-06,-0.52584267,-0.7173657,-0.33431968
1887-07,-0.38890877,-0.55927885,-0.21853866
1887-08,-0.44554248,-0.64114463,-0.24994037
1887-09,-0.3885525,-0.55485785,-0.22224714
1887-10,-0.4446146,-0.59794164,-0.29128754
1887-11,-0.43516165,-0.6090515,-0.26127174
1887-12,-0.49650568,-0.70510846,-0.2879029
1888-01,-0.6184704,-0.7836917,-0.45324904
1888-02,-0.58728784,-0.76135224,-0.41322348
1888-03,-0.59725916,-0.77896965,-0.41554868
1888-04,-0.35193178,-0.5080489,-0.19581465
1888-05,-0.41130793,-0.5864251,-0.23619075
1888-06,-0.3217171,-0.50169754,-0.14173672
1888-07,-0.3386262,-0.5072375,-0.17001486
1888-08,-0.31051376,-0.5074154,-0.11361212
1888-09,-0.32469457,-0.49043873,-0.15895042
1888-10,-0.16644995,-0.32206133,-0.010838576
1888-11,-0.26496226,-0.4413725,-0.08855199
1888-12,-0.2593257,-0.47495842,-0.043693
1889-01,-0.2966627,-0.47627586,-0.11704954
1889-02,-0.006579389,-0.19397688,0.1808181
1889-03,-0.08734918,-0.28068063,0.10598228
1889-04,-0.08679018,-0.25234994,0.078769594
1889-05,-0.15811297,-0.3331547,0.016928775
1889-06,-0.21282648,-0.40597382,-0.019679131
1889-07,-0.28090227,-0.46454594,-0.09725862
1889-08,-0.30713442,-0.5067254,-0.10754347
1889-09,-0.34166074,-0.51179236,-0.17152908
1889-10,-0.37001047,-0.5306747,-0.20934623
1889-11,-0.5064449,-0.67347455,-0.3394152
1889-12,-0.34427297,-0.55167353,-0.1368724
1890-01,-0.53390056,-0.68983096,-0.37797013
1890-02,-0.46501267,-0.64362186,-0.28640348
1890-03,-0.6111193,-0.79531926,-0.42691922
1890-04,-0.49407724,-0.6826467,-0.3055078
1890-05,-0.53646934,-0.71954244,-0.3533962
1890-06,-0.49480304,-0.6899875,-0.2996186
1890-07,-0.48914096,-0.6675704,-0.31071147
1890-08,-0.46699485,-0.6746316,-0.25935808
1890-09,-0.482208,-0.65571135,-0.30870467
1890-10,-0.4391856,-0.60413635,-0.27423483
1890-11,-0.67008716,-0.8370257,-0.5031486
1890-12,-0.3992993,-0.5958885,-0.20271009
1891-01,-0.580199,-0.77196914,-0.3884289
1891-02,-0.59757084,-0.80028284,-0.3948589
1891-03,-0.36251077,-0.55440897,-0.1706126
1891-04,-0.4480748,-0.64362466,-0.25252488
1891-05,-0.34619382,-0.5355189,-0.15686876
1891-06,-0.375095,-0.57121325,-0.17897676
1891-07,-0.39966992,-0.5892808,-0.21005905
1891-08,-0.3548557,-0.5726065,-0.13710487
1891-09,-0.25669602,-0.44973028,-0.06366173
1891-10,-0.3429681,-0.5111194,-0.17481679
1891-11,-0.5339126,-0.708038,-0.35978726
1891-12,-0.21803272,-0.42916322,-0.006902196
1892-01,-0.4647994,-0.65507704,-0.2745218
1892-02,-0.2896702,-0.4841962,-0.095144175
1892-03,-0.532998,-0.72427106,-0.34172493
1892-04,-0.5456076,-0.75018156,-0.34103373
1892-05,-0.4568904,-0.64939237,-0.2643884
1892-06,-0.43644238,-0.63285375,-0.24003102
1892-07,-0.5867592,-0.790647,-0.3828715
1892-08,-0.508325,-0.72042894,-0.296221
1892-09,-0.3824375,-0.5656438,-0.19923118
1892-10,-0.43382177,-0.6145778,-0.25306576
1892-11,-0.66069424,-0.84201086,-0.47937757
1892-12,-0.7922568,-1.000348,-0.5841656
1893-01,-1.0448953,-1.2234055,-0.86638504
1893-02,-0.84499276,-1.0261025,-0.6638829
1893-03,-0.42680097,-0.62173426,-0.23186766
1893-04,-0.5148424,-0.7004083,-0.32927647
1893-05,-0.5721378,-0.76604015,-0.3782353
1893-06,-0.44231105,-0.6416443,-0.24297778
1893-07,-0.24375539,-0.43675295,-0.050757837
1893-08,-0.2869543,-0.5068631,-0.06704551
1893-09,-0.36513734,-0.5501072,-0.18016747
1893-10,-0.30426577,-0.47791195,-0.13061959
1893-11,-0.404811,-0.5897336,-0.21988842
1893-12,-0.4845268,-0.70177835,-0.26727527
1894-01,-0.6276136,-0.8077845,-0.44744277
1894-02,-0.42949706,-0.6282197,-0.2307744
1894-03,-0.51159126,-0.71238536,-0.3107972
1894-04,-0.53747475,-0.7314728,-0.34347677
1894-05,-0.5191684,-0.7246258,-0.3137109
1894-06,-0.583648,-0.7914774,-0.3758187
1894-07,-0.39212567,-0.59586215,-0.1883892
1894-08,-0.35357937,-0.570022,-0.13713676
1894-09,-0.4396966,-0.6310632,-0.24833001
